MEXC SIDEWAYS SCREENER REPORT
Дата генерации: 6/19/2026, 4:56:04 PM
Найдено монет: 35
=======================================================================================================================
Тикер        | Цена         | Диап.15м%  | Отклон.%   | Ф.Тренда   | Спред%     | Сделок1м  
-----------------------------------------------------------------------------------------------------------------------
WALUSDT      | 0.036170     | 0.940      | 0.028      | 0.029      | 0.166      | 44        
OVPPUSDT     | 0.006735     | 0.979      | 0.059      | 0.061      | 0.253      | 10        
RACAUSDT     | 0.000013     | 2.914      | 0.187      | 0.064      | 1.798      | 22        
NETXUSDT     | 0.431500     | 2.530      | 0.174      | 0.069      | 0.886      | 18        
CORNUSDT     | 0.043140     | 1.297      | 0.116      | 0.089      | 0.116      | 38        
AIXUSDT      | 0.458912     | 1.257      | 0.138      | 0.110      | 0.107      | 88        
QFIUSDT      | 55.187000    | 0.871      | 0.100      | 0.115      | 0.370      | 33        
AIXPLAYUSDT  | 0.000158     | 1.390      | 0.190      | 0.136      | 0.253      | 22        
ZEREBROUSDT  | 0.043102     | 2.543      | 0.463      | 0.182      | 0.401      | 10        
KLIPUSDT     | 0.003885     | 0.489      | 0.090      | 0.184      | 0.103      | 14        
CTPUSDT      | 0.000878     | 0.353      | 0.074      | 0.210      | 0.240      | 34        
LABUSDT      | 14.233160    | 3.480      | 0.881      | 0.253      | 0.181      | 51        
SIRENUSDT    | 0.082960     | 2.098      | 0.534      | 0.254      | 0.545      | 10        
CAMPUSDT     | 0.000868     | 0.873      | 0.287      | 0.329      | 0.577      | 16        
SEDAUSDT     | 0.032950     | 0.395      | 0.137      | 0.346      | 0.061      | 44        
KASUSDT      | 0.029996     | 0.794      | 0.288      | 0.362      | 0.103      | 20        
INJUSDT      | 5.045000     | 0.968      | 0.365      | 0.378      | 0.060      | 46        
XMRUSDT      | 311.070000   | 0.712      | 0.276      | 0.387      | 0.068      | 22        
GRAMUSDT     | 1.585000     | 0.755      | 0.314      | 0.417      | 0.063      | 27        
XLMUSDT      | 0.220100     | 0.544      | 0.227      | 0.417      | 0.091      | 16        
ETHFIUSDT    | 0.349000     | 0.828      | 0.357      | 0.431      | 0.143      | 40        
NEARUSDT     | 2.140000     | 0.792      | 0.349      | 0.441      | 0.061      | 15        
CORALUSDT    | 0.000194     | 1.232      | 0.565      | 0.458      | 0.414      | 29        
ASTERUSDT    | 0.622700     | 0.768      | 0.368      | 0.479      | 0.080      | 13        
GMEEUSDT     | 0.001665     | 1.063      | 0.526      | 0.494      | 0.222      | 14        
TRIAUSDT     | 0.025280     | 0.827      | 0.414      | 0.500      | 0.119      | 14        
XPLUSDT      | 0.099900     | 1.766      | 0.883      | 0.500      | 0.110      | 53        
JGGLUSDT     | 1.827800     | 0.562      | 0.281      | 0.500      | 0.586      | 13        
WIFUSDT      | 0.161300     | 1.232      | 0.616      | 0.500      | 0.186      | 27        
PMTUSDT      | 0.105840     | 0.227      | 0.113      | 0.500      | 0.227      | 34        
MYRIAUSDT    | 0.000029     | 3.737      | 1.868      | 0.500      | 1.134      | 20        
BEATUSDT     | 1.932020     | 3.215      | 1.608      | 0.500      | 0.107      | 23        
ATOMUSDT     | 1.810000     | 0.606      | 0.303      | 0.500      | 0.055      | 12        
ALEOUSDT     | 0.033530     | 0.565      | 0.283      | 0.500      | 0.179      | 15        
BRLUSDT      | 0.193900     | 0.103      | 0.052      | 0.500      | 0.052      | 19        
=======================================================================================================================
